region,tech,step,year,SupplyCurve
15,1,1,2037,3.5
15,1,2,2037,3.5
15,1,3,2037,3.5
16,1,1,2037,2.88
16,1,2,2037,2.88
16,1,3,2037,2.88
20,1,1,2037,0.46
20,1,2,2037,0.46
20,1,3,2037,0.46
6,1,1,2037,2.39
6,1,2,2037,2.39
6,1,3,2037,2.39
17,1,1,2037,2.5
17,1,2,2037,2.5
17,1,3,2037,2.5
21,1,1,2037,0
21,1,2,2037,0
21,1,3,2037,0
23,1,1,2037,0.54
23,1,2,2037,0.54
23,1,3,2037,0.54
22,1,1,2037,0.02
22,1,2,2037,0.02
22,1,3,2037,0.02
24,1,1,2037,1.34
24,1,2,2037,1.34
24,1,3,2037,1.34
7,1,1,2037,0.15
7,1,2,2037,0.15
7,1,3,2037,0.15
10,1,1,2037,0.98
10,1,2,2037,0.98
10,1,3,2037,0.98
13,1,1,2037,0.31
13,1,2,2037,0.31
13,1,3,2037,0.31
2,1,1,2037,1.18
2,1,2,2037,1.18
2,1,3,2037,1.18
25,1,1,2037,0.72
25,1,2,2037,0.72
25,1,3,2037,0.72
4,1,1,2037,5.92
4,1,2,2037,5.92
4,1,3,2037,5.92
12,1,1,2037,0
12,1,2,2037,0
12,1,3,2037,0
