plant_name,plant_id,unit_id,generator_id,unique_id,state,region,technology,heat_rate_mmbtu_per_mwh,capacity_mw,region_id,co2_short_ton_per_mwh
BPWhitingBusinessUnit,52130,3SPS31,35TG,52130-3SPS31-35TG,IN,PJM,GasSteam,7.3,30.0,MISO_LRZ6,0.4269665508
BPWhitingBusinessUnit,52130,3SPS31,33TG,52130-3SPS31-33TG,IN,PJM,GasSteam,7.3,18.8,MISO_LRZ6,0.4269665508
BPWhitingBusinessUnit,52130,3SPS31,32TG,52130-3SPS31-32TG,IN,PJM,GasSteam,7.3,10.0,MISO_LRZ6,0.4269665508
BPWhitingBusinessUnit,52130,3SPS31,34TG,52130-3SPS31-34TG,IN,PJM,GasSteam,7.3,10.0,MISO_LRZ6,0.4269665508
BPWhitingBusinessUnit,52130,3SPS31,31TG,52130-3SPS31-31TG,IN,PJM,GasSteam,7.3,10.0,MISO_LRZ6,0.4269665508
BPWhitingBusinessUnit,52130,3SPS32,35TG,52130-3SPS32-35TG,IN,PJM,GasSteam,7.3,30.0,MISO_LRZ6,0.4269665508
BPWhitingBusinessUnit,52130,3SPS32,33TG,52130-3SPS32-33TG,IN,PJM,GasSteam,7.3,18.8,MISO_LRZ6,0.4269665508
BPWhitingBusinessUnit,52130,3SPS32,31TG,52130-3SPS32-31TG,IN,PJM,GasSteam,7.3,10.0,MISO_LRZ6,0.4269665508
BPWhitingBusinessUnit,52130,3SPS32,34TG,52130-3SPS32-34TG,IN,PJM,GasSteam,7.3,10.0,MISO_LRZ6,0.4269665508
BPWhitingBusinessUnit,52130,3SPS32,32TG,52130-3SPS32-32TG,IN,PJM,GasSteam,7.3,10.0,MISO_LRZ6,0.4269665508
BPWhitingBusinessUnit,52130,3SPS33,32TG,52130-3SPS33-32TG,IN,PJM,GasSteam,7.3,10.0,MISO_LRZ6,0.4269665508
BPWhitingBusinessUnit,52130,3SPS33,35TG,52130-3SPS33-35TG,IN,PJM,GasSteam,7.3,30.0,MISO_LRZ6,0.4269665508
BPWhitingBusinessUnit,52130,3SPS33,34TG,52130-3SPS33-34TG,IN,PJM,GasSteam,7.3,10.0,MISO_LRZ6,0.4269665508
BPWhitingBusinessUnit,52130,3SPS33,31TG,52130-3SPS33-31TG,IN,PJM,GasSteam,7.3,10.0,MISO_LRZ6,0.4269665508
BPWhitingBusinessUnit,52130,3SPS33,33TG,52130-3SPS33-33TG,IN,PJM,GasSteam,7.3,18.8,MISO_LRZ6,0.4269665508
