
year,region_id,scenario_id,fuel,price_per_mmbtu
2026,PJM_DAYTON,REF,RESIDUAL,9.2585
2026,PJM_DAYTON,REF,URANIUM,0.61
2026,PJM_DEOK,REF,GAS,2.6664
2026,PJM_DEOK,REF,COAL,2.2459
2026,PJM_DEOK,REF,DISTILLATE,13.7401
2026,PJM_DEOK,REF,RESIDUAL,9.2585
2026,PJM_DEOK,REF,URANIUM,0.61
2026,PJM_DOM,REF,GAS,2.6664
2026,PJM_DOM,REF,COAL,2.2459
2026,PJM_DOM,REF,DISTILLATE,13.7401
2026,PJM_DOM,REF,RESIDUAL,9.2585
2026,PJM_DOM,REF,URANIUM,0.61
2026,PJM_DPL,REF,GAS,2.6664
2026,PJM_DPL,REF,COAL,2.2459
2026,PJM_DPL,REF,DISTILLATE,13.7401
2026,PJM_DPL,REF,RESIDUAL,9.2585
2026,PJM_DPL,REF,URANIUM,0.61
2026,PJM_DUQ,REF,GAS,2.6664
2026,PJM_DUQ,REF,COAL,2.2459
2026,PJM_DUQ,REF,DISTILLATE,13.7401
2026,PJM_DUQ,REF,RESIDUAL,9.2585
2026,PJM_DUQ,REF,URANIUM,0.61
2026,PJM_JCPL,REF,GAS,2.6664
2026,PJM_JCPL,REF,COAL,2.2459
2026,PJM_JCPL,REF,DISTILLATE,13.7401
2026,PJM_JCPL,REF,RESIDUAL,9.2585
2026,PJM_JCPL,REF,URANIUM,0.61
2026,PJM_METED,REF,GAS,2.6664
2026,PJM_METED,REF,COAL,2.2459
2026,PJM_METED,REF,DISTILLATE,13.7401
2026,PJM_METED,REF,RESIDUAL,9.2585
2026,PJM_METED,REF,URANIUM,0.61
2026,PJM_PECO,REF,GAS,2.6664
2026,PJM_PECO,REF,COAL,2.2459
2026,PJM_PECO,REF,DISTILLATE,13.7401
2026,PJM_PECO,REF,RESIDUAL,9.2585
2026,PJM_PECO,REF,URANIUM,0.61
2026,PJM_PENELEC,REF,GAS,2.6664
2026,PJM_PENELEC,REF,COAL,2.2459
2026,PJM_PENELEC,REF,DISTILLATE,13.7401
2026,PJM_PENELEC,REF,RESIDUAL,9.2585
2026,PJM_PENELEC,REF,URANIUM,0.61
